Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2021,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
November 30 2022,Clark,WA,Truck,39,0,39,81945,81984,0.05
August 31 2022,Wahkiakum,WA,Passenger,24,12,36,3078,3114,1.16
February 28 2023,Adams,CO,Passenger,1,0,1,34,35,2.86
June 30 2019,Pend Oreille,WA,Passenger,4,5,9,9526,9535,0.09
November 30 2019,Douglas,WA,Passenger,65,38,103,28276,28379,0.36
September 30 2022,Cook,IL,Passenger,2,0,2,196,198,1.01
January 31 2023,Nassau,NY,Passenger,2,0,2,29,31,6.45
September 30 2019,Polk,FL,Passenger,1,0,1,77,78,1.28
December 31 2023,Atlantic,NJ,Passenger,1,0,1,10,11,9.09
April 30 2018,Bexar,TX,Passenger,2,2,4,782,786,0.51
January 31 2022,Okanogan,WA,Truck,0,0,0,16675,16675,0
March 31 2024,Polk,OR,Passenger,1,1,2,17,19,10.53
November 30 2022,Kittitas,WA,Passenger,294,93,387,29530,29917,1.29
December 31 2020,Pierce,WA,Passenger,2824,1770,4594,555145,559739,0.82
June 30 2024,Clallam,WA,Truck,30,0,30,21095,21125,0.14
December 31 2019,Prince William,VA,Passenger,1,4,5,237,242,2.07
January 31 2022,Montgomery,MD,Passenger,3,2,5,213,218,2.29
March 31 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
May 31 2023,Alameda,CA,Passenger,5,2,7,184,191,3.66
June 30 2023,Broward,FL,Passenger,1,0,1,65,66,1.52
November 30 2018,Lee,FL,Passenger,1,0,1,51,52,1.92
November 30 2020,King,WA,Passenger,26593,8081,34674,1370192,1404866,2.47
April 30 2021,Washington,OR,Passenger,1,0,1,421,422,0.24
October 31 2017,Duval,FL,Passenger,1,1,2,365,367,0.54
July 31 2021,Burlington,NJ,Passenger,0,1,1,122,123,0.81
July 31 2022,Galveston,TX,Passenger,0,1,1,18,19,5.26
May 31 2023,Oldham,KY,Passenger,0,1,1,3,4,25
February 29 2020,Clark,WA,Truck,0,0,0,81951,81951,0
June 30 2022,Skagit,WA,Truck,3,0,3,32316,32319,0.01
November 30 2020,Island,WA,Passenger,480,287,767,62819,63586,1.21
February 28 2021,Walla Walla,WA,Passenger,105,69,174,36114,36288,0.48
April 30 2021,Leavenworth,KS,Passenger,0,1,1,112,113,0.88
March 31 2020,Prince William,VA,Passenger,2,4,6,231,237,2.53
August 31 2023,New London,CT,Passenger,2,3,5,171,176,2.84
January 31 2018,Prince George's,MD,Passenger,0,1,1,180,181,0.55
February 29 2024,Wichita,TX,Passenger,1,0,1,31,32,3.12
February 28 2023,Marion,OR,Passenger,1,0,1,85,86,1.16
March 31 2021,Clark,WA,Passenger,2580,1276,3856,319835,323691,1.19
June 30 2017,Virginia Beach,VA,Passenger,2,1,3,649,652,0.46
January 31 2017,Harnett,NC,Passenger,1,0,1,268,269,0.37
October 31 2020,Lincoln,WA,Passenger,5,10,15,7605,7620,0.2
May 31 2018,Montgomery,TX,Passenger,1,0,1,67,68,1.47
